   utc      ob   clim   f1    f2    f3    f4    f5    f6    f7
1430431200 22.5  25.7   NA    NA    NA    NA    NA    NA    NA  
1430517600 22.5  21.8   NA    NA    NA    NA    NA    NA    NA  
1430604000 22.4  21.8  21.2   NA    NA    NA    NA    NA    NA  
1430690400 17.4  21.8  17.6  18.1   NA    NA    NA    NA    NA  
1430776800 20.2  21.8  20.2  20.2  19.8   NA    NA    NA    NA  
1430863200 22.3  21.8  22.0  21.7  21.6  21.1   NA    NA    NA  
1430949600 23.6  21.8  23.5  23.2  23.3  23.3  22.3   NA    NA  
1431036000 22.8  21.8   NA   23.5  23.2  23.2  22.4  22.1   NA  
1431122400 23.0  21.8  22.9   NA   23.2  23.4  23.4  21.9  21.9 
1431208800 24.2  21.8  24.8  25.1   NA   25.1  24.9  24.1  22.8 
1431295200 25.0  21.8  24.9  26.0  26.4   NA   25.5  25.0  25.2 
1431381600 23.7  21.8  24.0  24.4  25.3  26.2   NA   25.3  25.1 
1431468000 23.7  21.8  24.7  25.0  24.8  25.5  25.7   NA   25.6 
1431554400 26.1  21.8  26.7  27.1  26.5  26.8  27.0  26.6   NA  
1431640800 26.1  21.8  27.0  27.0  27.0  27.3  27.0  26.7  25.7 
1431727200 15.6  21.8  19.2  19.6  19.2  18.8  21.7  20.6  24.7 
1431813600 18.1  21.8  18.8  17.7  18.7  17.9  18.4  18.5  18.4 
1431900000 20.4  21.8  20.3  19.7  18.0  19.6  20.0  18.6  20.6 
1431986400 17.7  21.8  18.1  18.1  18.3  18.6  19.8  20.4  19.2 
1432072800 17.0  21.8  18.2  18.1  18.2  18.1  17.1  21.1  20.7 
1432159200 19.0  21.8  18.4  18.1  18.6  19.7  19.9  19.2  20.9 
1432245600 22.2  21.8  21.3  20.9  20.3  19.7  20.7  20.9  19.3 
1432332000 21.7  21.8  22.1  21.6  21.2  21.1  20.5  20.9  20.9 
1432418400 20.7  21.8  20.8  20.9  21.3  20.1  19.3  20.2  20.0 
1432504800 22.1  21.8  21.4  21.0  20.8  21.0  20.3  19.1  19.7 
1432591200 20.0  21.8  20.1  19.3  19.5  18.7  17.2  17.8  18.5 
1432677600 19.1  21.8  19.1  18.9  19.3  19.3  18.4  18.8  18.5 
1432764000 18.5  21.8   NA   18.6  19.2  19.0  18.7  18.4  17.7 
1432850400 21.1  21.8  19.6   NA   19.7  19.4  19.2  18.8  18.6 
1432936800 22.6  21.8  20.4  20.4   NA   19.6  19.5  18.9  19.5 
1433023200 22.2  21.8  21.5  22.0  21.5   NA   20.3  19.8  18.8 
1433109600 21.4  21.8  21.1  20.9  21.4  21.3   NA   20.6  20.4 
1433196000 21.0  19.0  20.5  20.8  19.9  19.8  19.4   NA   20.2 
1433282400 22.5  19.0  22.6  22.2  21.9  21.7  21.3  21.3   NA  
1433368800 22.8  19.0  23.5  22.8  23.5  23.4  22.5  22.2  21.9 
1433455200 23.2  19.0  23.2  23.0  23.7  23.8  23.5  23.1  24.0 
1433541600 21.5  19.0  21.1  21.2  20.9  21.7  21.3  22.1  22.9 
1433628000 21.5  19.0  21.3  21.2  20.7  21.4  21.6  20.0  21.4 
