   utc      ob   clim   f1    f2    f3    f4    f5    f6    f7
1430474400 8.2  10.4   NA    NA    NA    NA    NA    NA    NA  
1430560800 7.2  10.4  10.1   NA    NA    NA    NA    NA    NA  
1430647200 7.2  10.4  9.4  8.7   NA    NA    NA    NA    NA  
1430733600 3.0  10.4  5.2  4.2  4.6   NA    NA    NA    NA  
1430820000 3.7  10.4  6.9  6.9  6.7  5.4   NA    NA    NA  
1430906400 6.5  10.4  6.5  7.3  8.2  7.7  7.5   NA    NA  
1430992800 4.2  10.4   NA   7.7  7.2  8.3  7.6  7.8   NA  
1431079200 6.6  10.4  7.1   NA   7.8  8.2  8.8  8.9  8.7 
1431165600 8.3  10.4  7.8  8.8   NA   9.7  9.4  9.6  7.8 
1431252000 9.9  10.4  10.0  9.9  8.4   NA   11.3  11.1  10.2 
1431338400 13.3  10.4  11.2  11.6  11.2  11.0   NA   8.9  10.1 
1431424800 12.6  10.4  10.8  11.6  11.5  12.1  11.8   NA   10.6 
1431511200 15.0  10.4  11.4  12.0  12.1  11.8  11.8  12.7   NA  
1431597600 15.3  10.4  13.7  14.0  14.8  14.0  13.9  13.8  13.9 
1431684000 12.0  10.4  13.0  13.2  13.2  11.4  13.6  12.2  12.3 
1431770400 12.7  10.4  10.8  9.7  9.7  9.7  8.1  9.3  9.7 
1431856800 13.4  10.4  11.7  11.2  10.5  11.8  10.4  8.2  10.1 
1431943200 9.4  10.4  7.8  8.2  7.9  8.6  8.4  8.7  6.9 
1432029600 8.2  10.4  6.0  6.4  6.0  6.0  5.6  7.7  7.7 
1432116000 9.6  10.4  6.9  7.7  7.0  6.9  6.4  6.4  7.8 
1432202400 11.6  10.4  8.5  7.8  8.2  7.5  8.3  8.7  7.2 
1432288800 5.9  10.4  7.6  9.4  7.6  8.2  9.2  8.0  8.4 
1432375200 7.5  10.4  8.4  8.9  8.5  8.2  8.3  8.6  8.5 
1432461600 10.0  10.4  7.5  7.5  7.0  6.9  7.7  7.7  7.9 
1432548000 7.5  10.4  8.4  7.4  5.8  8.3  8.7  8.3  8.2 
1432634400 7.0  10.4  6.8  7.2  5.4  5.6  6.8  5.2  7.1 
1432720800 4.4  10.4   NA   6.4  6.4  6.6  6.8  6.8  6.2 
1432807200 7.7  10.4  4.5   NA   4.4  7.0  6.6  6.3  5.6 
1432893600 9.5  10.4  5.7  5.7   NA   4.4  5.9  6.4  5.8 
1432980000 5.8  10.4  7.1  6.3  6.0   NA   5.1  6.2  5.3 
1433066400 7.2  10.4  7.6  9.2  7.3  7.1   NA   4.6  6.4 
1433152800 12.0  9.0  11.9  11.2  11.7  11.3  11.7   NA   6.6 
1433239200 12.7  9.0  14.1  14.1  13.8  13.0  12.3  12.3   NA  
1433325600 11.6  9.0  12.7  12.7  12.8  12.5  11.9  13.4  13.1 
1433412000 9.4  9.0  9.0  9.2  9.1  8.5  6.5  10.3  12.8 
1433498400 11.7  9.0  10.5  11.3  10.3  10.6  11.4  9.0  10.3 
1433584800 8.0  9.0  7.4  7.5  6.6  6.5  7.6  8.3  10.2 
1433671200 6.2  9.0  8.2  8.4  7.7  6.7  8.2  8.6  6.3 
1433757600 11.4  9.0  7.6  9.6  10.7  10.3  10.0  11.2  11.1 
1433844000 12.4  9.0  9.6  9.7  10.8  12.3  11.6  11.0  11.7 
1433930400 14.4  9.0  12.0  12.0  12.1  11.4  12.4  12.0  11.5 
1434016800 12.4  9.0  12.9  12.9  12.7  13.2  12.8  12.3  9.7 
1434103200 8.6  9.0  7.2  7.2  7.6  5.1  3.2  10.1  8.0 
1434189600 6.3  9.0  7.5  7.3  6.1  6.7  8.1  7.4  9.1 
1434276000 7.3  9.0  7.4  7.6  7.5  7.1  7.0  9.4  5.6 
1434362400 9.9  9.0  8.5  10.0  10.0  10.2  9.7  10.1  10.0 
1434448800 13.7  9.0  11.6  11.6  11.8  12.5  11.4  10.3  11.6 
1434535200 13.1  9.0  12.4  12.5  13.1  13.3  12.6  12.3  12.0 
1434621600 15.4  9.0  13.9  14.0  13.9  13.9  13.4  13.4  13.0 
1434708000 16.0  9.0  14.5  14.5  14.2  14.2  13.9  11.3  12.8 
1434794400 14.3  9.0  12.2  12.4  12.2  12.5  12.4  11.7  10.0 
1434880800 8.0  9.0  8.1  6.8  6.7  4.2  4.3  4.3  5.8 
1434967200 1.8  9.0  3.0  3.0  3.1  3.3  3.2  5.0  3.7 
1435053600 4.1  9.0  3.7  4.5  4.8  5.3  4.7  4.4  5.4 
1435140000 7.6  9.0  5.2  5.2  5.7  6.8  8.1  7.2  6.5 
1435226400 7.3  9.0  7.1  6.5  6.2  6.5  7.2  7.5  8.3 
1435312800 9.4  9.0  8.1  8.6  7.6  5.6  6.9  7.1  7.4 
1435399200 7.4  9.0  8.0  8.0  7.6  8.1  6.6  7.3  7.0 
1435485600 9.9  9.0  8.3  8.3  8.1  6.6  6.0  6.0  8.3 
1435572000 10.1  9.0  9.5  10.0  9.4  6.8  8.3  6.2  5.7 
1435658400 10.8  9.0  9.8  11.9  11.7  10.5  10.5  9.8  9.0 
1435744800 13.7  8.1  12.4  12.5  12.5  11.8  11.5  10.4  10.2 
1435831200 12.4  8.1  11.1  11.6  11.0  11.7  11.7  9.1  10.1 
1435917600 10.2  8.1  11.6  12.1  10.3  7.4  9.5  8.7  8.0 
1436004000 10.2  8.1  11.1  11.1  11.5  9.0  9.0  7.6  8.5 
1436090400 9.0  8.1  9.0  9.7  10.9  10.6  10.4  10.4  9.5 
1436176800 12.0  8.1  11.7  11.8  12.1  11.6  10.0  11.3  11.6 
1436263200 7.7  8.1  7.8  5.3  4.8  4.9  6.3  6.1  8.2 
1436349600 0.1  8.1  2.3  2.5  3.1  1.5  0.6  1.8  3.8 
1436436000 7.6  8.1  7.1  5.3  4.1  6.1  4.9  0.4  3.4 
1436522400 3.8  8.1  4.8  4.8  5.4  6.6  3.6  3.3  2.6 
1436608800 3.4  8.1  2.3  3.9  3.7  4.8  5.8  5.5  5.5 
1436695200 6.4  8.1  4.8  3.2  3.8  4.8  5.4  7.9  5.4 
1436781600 8.8  8.1  6.1  5.9  4.7  4.5  4.2  5.6  8.8 
1436868000 9.9  8.1  8.0  7.4  5.0  5.1  5.4  4.7  6.0 
1436954400 9.3  8.1  6.7  6.9  5.0  5.0  3.5  2.7  5.1 
1437040800 11.8  8.1  10.3  9.8  10.3  7.1  5.2  4.3  5.4 
1437127200 12.5  8.1   NA   11.4  11.1  10.3  5.4  5.5  5.6 
1437213600 12.2  8.1  12.0   NA   12.2  11.1  10.3  8.1  7.3 
1437300000 13.4  8.1  12.3  11.6   NA   11.5  10.5  10.0  9.3 
1437386400 8.1  8.1  7.9  7.9  7.1   NA   7.1  5.4  6.1 
1437472800 6.2  8.1  8.7  8.8  9.1  8.1   NA   8.5  8.4 
1437559200 9.8  8.1  9.2  9.4  9.3  9.9  8.5   NA   7.3 
1437645600 1.0  8.1  4.4  4.5  5.6  7.2  6.9  9.0   NA  
1437732000 9.1  8.1  5.7  7.5  8.0  6.2  10.4  8.5  9.5 
1437818400 3.8  8.1  6.8  5.5  6.9  7.9  6.6  5.7  7.9 
1437904800 7.8  8.1  8.1  7.0  7.6  8.3  7.9  8.0  7.3 
1437991200 12.1  8.1  10.9  10.8  10.5  11.2  9.5  9.8  10.6 
1438077600 10.5  8.1   NA   12.3  11.5  13.0  13.2  12.3  9.6 
1438164000 15.6  8.1   NA    NA   10.8  11.3  10.7  11.8  10.5 
1438250400 15.8  8.1  13.4   NA    NA   12.7  13.9  13.3  12.4 
1438336800 11.7  8.1  9.1  9.6   NA    NA   12.3  11.8  11.2 
1438423200 4.1  8.1  4.4  4.3  3.7   NA    NA   10.2  9.6 
1438509600 4.2  8.1  4.3  3.2  5.5  4.0   NA    NA   7.9 
1438596000 8.0  8.1  6.5  6.8  7.9  7.6  7.6   NA    NA  
1438682400 6.2  8.1  7.7  7.5  7.7  9.1  10.4  9.7   NA  
1438768800 8.8  8.1  8.6  8.6  8.5  9.3  9.5  11.6  10.9 
1438855200 12.3  8.1  10.5  10.5  10.5  10.4  10.6  11.5  10.5 
1438941600 8.2  8.1   NA   10.0  10.3  9.7  8.9  8.9  10.5 
1439028000 3.3  8.1  5.1   NA   3.3  4.3  6.2  6.2  7.8 
1439114400 7.7  8.1  8.1  8.0   NA   7.9  7.9  9.0  9.0 
1439200800 9.6  8.1  9.7  9.0  9.1   NA   9.6  7.8  7.5 
1439287200 4.7  8.1  7.6  7.6  7.8  6.6   NA   9.0  8.6 
1439373600 13.0  8.1  8.9  9.2  9.2  8.3  7.6   NA   9.4 
1439460000 8.3  8.1  8.6  6.8  8.0  8.0  8.5  8.4   NA  
1439546400 12.7  8.1  10.9  10.6  10.1  9.2  9.2  10.6  9.4 
1439632800 11.6  8.1  11.2  11.0  11.3  11.5  12.0  12.0  11.4 
1439719200 15.4  8.1  14.2  13.5  13.9  13.6  13.0  11.8  11.8 
1439805600 11.6  8.1  12.8  12.9  12.8  12.5  13.0  12.2  10.8 
1439892000 10.1  8.1  12.6  12.3  12.0  12.3  12.1  12.0  10.4 
1439978400 11.6  8.1  11.0  11.0  11.3  8.9  11.0  11.5  11.6 
1440064800 10.0  8.1  10.4  10.6  11.0  10.8  8.3  9.4  9.9 
1440151200 4.0  8.1  6.1  7.1  7.5  7.4  9.2  9.2  9.7 
1440237600 6.6  8.1  6.1  6.5  7.0  6.6  5.8  5.9  7.1 
1440324000 9.5  8.1  7.2  6.5  6.9  5.5  5.8  6.1  6.5 
1440410400 8.6  8.1  6.9  6.9  6.6  7.2  7.2  7.7  7.3 
1440496800 9.8  8.1  8.1  7.9  7.9  8.0  8.3  9.6  9.7 
1440583200 11.6  8.1  10.5  10.8  10.5  10.4  10.4  9.1  10.3 
1440669600 12.4  8.1  11.1  10.9  10.7  11.2  10.6  10.4  7.4 
1440756000 11.1  8.1  12.1  12.4  12.0  9.8  10.6  11.1  11.2 
1440842400 11.4  8.1  11.8  11.3  11.3  11.2  10.5  10.5  9.0 
1440928800 6.9  8.1  8.4  9.3  9.4  9.9  9.5  9.5  9.5 
1441015200 5.1  8.1  5.9  5.9  4.8  5.6  5.7  5.6  8.8 
1441101600 1.7  8.9  2.9  3.4  4.0  4.0  6.6  5.9  6.1 
1441188000 8.6  8.9  6.4  6.7  7.2  7.5  6.4  8.8  7.3 
1441274400 4.8  8.9  6.9  6.7  6.8  8.3  9.1  9.1  10.4 
1441360800 10.3  8.9  11.5  11.9  10.0  9.6  11.0  10.7  10.1 
1441447200 4.3  8.9  6.0  5.8  6.2  7.6  7.6  8.6  7.3 
1441533600 5.2  8.9  6.2  5.9  6.7  6.3  7.6  7.6  9.2 
1441620000 9.3  8.9  11.0  11.3  11.2  10.8  9.9  8.3  8.8 
1441706400 13.3  8.9  12.3  13.4  13.4  13.3  13.0  13.0  9.4 
1441792800 16.3  8.9  15.1  15.6  15.5  15.6  14.7  13.8  14.1 
1441879200 9.3  8.9   NA   11.7  12.2  12.4  11.5  10.4  10.6 
1441965600 13.7  8.9  11.5   NA   11.8  11.1  10.6  10.4  10.1 
1442052000 4.9  8.9  7.2  7.8   NA   8.5  7.4  7.2  7.3 
1442138400 6.3  8.9  5.7  6.0  6.0   NA   6.7  7.3  8.2 
