   utc      ob   clim   f1    f2    f3    f4    f5    f6    f7
1430467200  18.9  20.0  20.8   NA    NA    NA    NA    NA    NA  
1430553600  20.3  20.0  21.1  21.1   NA    NA    NA    NA    NA  
1430640000  22.0  20.0  21.1  20.7  20.8   NA    NA    NA    NA  
1430726400  21.0  20.0  20.4  20.1  20.5  20.7   NA    NA    NA  
1430812800  18.4  20.0  19.9  20.2  20.1  20.3  21.1   NA    NA  
1430899200  17.9  20.0  18.6  21.2  21.3  21.2  20.9  22.8   NA  
1430985600  19.9  20.0  18.3  21.4  21.8  21.8  21.9  21.7  23.4 
1431072000  18.0  20.0  17.8  18.9  19.3  19.6  20.8  21.9  22.1 
1431158400  16.2  20.0  18.2  20.2  20.5  20.8  20.7  21.2  21.7 
1431244800  19.3  20.0  19.1  20.7  20.6  20.6  20.3  21.1  21.1 
1431331200  18.4  20.0  18.2  18.7  18.8  19.4  19.5  19.4  19.2 
1431417600  16.6  20.0  18.4  18.4  18.5  18.6  18.9  19.2  19.2 
1431504000  17.3  20.0  18.0  19.2  19.2  19.5  20.3  19.4  19.7 
1431590400  19.9  20.0  16.5  16.7  16.7  17.0  17.6  19.4  20.5 
1431676800  20.7  20.0  19.0  19.1  18.7  18.7  17.9  18.3  20.4 
1431763200  21.2  20.0  21.3  20.7  20.5  20.4  20.4  19.5  19.4 
1431849600  21.8  20.0  20.8  20.9  20.8  20.6  20.5  20.5  20.0 
1431936000  22.0  20.0  20.8  23.7  20.7  20.5  20.1  20.0  20.0 
1432022400  20.4  20.0  20.5  20.5  22.9  20.3  20.1  19.7  19.6 
1432108800  19.4  20.0  19.9  20.3  20.3  22.4  20.3  19.9  19.6 
1432195200  20.2  20.0  20.3  20.2  20.4  20.5  21.9  19.8  20.0 
1432281600  21.3  20.0  19.1  19.8  19.8  19.9  20.1  20.6  20.6 
1432368000  16.9  20.0  17.9  17.9  19.4  19.4  19.8  19.8  21.2 
1432454400  21.8  20.0  20.2  20.5  20.0  21.4  21.4  19.8  19.9 
1432540800  20.6  20.0  19.2  20.3  20.5  20.3  21.2  21.2  19.9 
1432627200  21.1  20.0  20.0  19.8  19.8  20.6  20.2  21.4  21.4 
1432713600  22.3  20.0  20.2  20.2  20.1  20.1  20.5  19.8  21.4 
1432800000  21.9  20.0  20.7  21.5  20.2  20.1  20.1  20.2  19.4 
1432886400  22.0  20.0  20.4  20.1  20.0  20.0  19.8  19.7  19.5 
1432972800  22.4  20.0  20.7  20.0  20.0  20.0  20.0  19.6  19.8 
1433059200  22.3  20.0  20.7  19.4  19.4  19.4  19.3  19.3  19.0 
1433145600  21.7  18.0  19.9  19.9  19.9  19.5  19.5  19.3  19.3 
1433232000  21.7  18.0  20.4  19.6  19.3  19.3  19.1  19.1  19.0 
1433318400  22.6  18.0  20.5  18.6  18.5  18.1  18.9  18.7  19.3 
1433404800  21.9  18.0  20.9  18.3  18.3  18.3  18.2  19.1  18.9 
1433491200  14.6  18.0  18.0  17.8  17.8  17.8  17.8  17.7  18.1 
1433577600  20.0  18.0  18.5  18.5  18.0  17.5  17.5  17.5  16.5 
1433664000  20.4  18.0  20.0  19.8  19.8  19.5  18.6  18.6  17.8 
1433750400  20.1  18.0   NA   19.9  19.9  19.9  19.7  18.9  18.9 
1433836800  20.4  18.0  20.5   NA   20.1  20.1  20.1  19.4  19.6 
1433923200  20.7  18.0  20.9  20.6   NA   20.4  20.0  20.0  19.6 
1434009600  20.4  18.0  20.6  20.6  20.6   NA   20.3  19.6  19.6 
1434096000  20.5  18.0  20.7  20.2  20.2  20.2   NA   20.0  20.3 
1434182400  20.9  18.0  20.6  20.6  20.4  20.4  20.4   NA   20.0 
1434268800  21.4  18.0  21.3  20.8  20.6  20.5  20.5  20.5   NA  
1434355200  22.0  18.0  21.3  21.1  21.1  20.8  20.9  20.7  20.7 
1434441600  21.6  18.0  20.7  20.4  20.4  20.4  20.9  21.3  22.3 
1434528000  18.6  18.0  20.5  20.5  20.1  20.1  20.1  20.6  21.6 
1434614400  19.8  18.0  20.4  20.4  20.5  20.0  20.0  20.0  19.9 
1434700800  22.2  18.0  20.1  20.1  20.1  20.1  20.1  20.1  20.1 
1434787200  20.7  18.0  20.2  19.6  19.1  19.1  19.1  19.6  19.6 
1434873600  19.5  18.0  19.7  19.1  19.1  19.1  19.1  19.5  21.0 
1434960000  19.6  18.0  20.1  19.9  19.7  19.7  19.1  19.1  19.4 
1435046400  19.3  18.0  19.7  19.5  19.4  19.5  19.5  19.5  19.5 
1435132800  16.7  18.0  19.2  19.7  19.4  19.3  19.2  19.2  20.1 
1435219200  15.8  18.0  18.6  19.3  19.3  19.4  19.5  19.3  19.3 
1435305600  19.0  18.0  18.8  18.9  19.0  19.0  19.2  19.4  20.5 
1435392000  19.3  18.0  19.3  19.4  19.4  19.4  19.4  19.4  19.8 
1435478400  19.5  18.0  20.0  20.1  20.0  20.0  19.8  19.4  19.4 
1435564800  20.5  18.0   NA   20.4  20.6  20.5  20.5  20.5  20.5 
1435651200  20.2  18.0  20.2   NA   20.1  20.2  20.2  20.2  20.2 
1435737600  18.1  17.2  19.7  19.7   NA   19.7  19.8  19.4  19.4 
1435824000  16.2  17.2  18.5  18.5  18.5   NA   19.3  19.7  19.9 
1435910400  16.3  17.2  16.9  17.4  17.3  17.6   NA   18.5  18.9 
1435996800  17.7  17.2  18.2  18.7  19.1  18.1  18.8   NA   19.0 
1436083200  19.0  17.2  18.7  19.2  19.4  19.7  19.4  19.5   NA  
1436169600  16.2  17.2  18.1  18.9  18.9  19.1  19.9  20.0  20.3 
1436256000  15.8  17.2  16.9  17.7  18.6  18.6  18.9  20.1  20.3 
