   utc         ob   clim   f1    f2    f3    f4    f5    f6    f7
1430406000    0.0    17    NA    NA    NA    NA    NA    NA    NA 
1430492400    0.0     8     1    NA    NA    NA    NA    NA    NA 
1430578800    0.0     8     1     0    NA    NA    NA    NA    NA 
1430665200    0.0     8     3     0     0    NA    NA    NA    NA 
1430751600    0.0     8     0     0     0     0    NA    NA    NA 
1430838000    0.0     8     2     0     0     0     0    NA    NA 
1430924400    0.0     8     2     2     4     1     1    10    NA 
1431010800    0.2     8     1     0     0     6     2     9     4 
1431097200    0.0     8     0     0     0     0     3     3     5 
1431183600    0.0     8     2     3     2     5     2     2     2 
1431270000    0.0     8     0     2     2     2     1     1     1 
1431356400    0.0     8     0     1     0     0     0     2     2 
1431442800    0.0     8     0     1     0     0     0     0     0 
1431529200    0.0     8     4     4     1     0     0     3     3 
1431615600    0.0     8     6     8     8     5     3     4    14 
1431702000   13.4     8    17    10    13    13    15    14    12 
1431788400    0.2     8    10    10    10    14    14     9     0 
1431874800    0.2     8     3    12    12    11    16    16    12 
1431961200    0.0     8     3     9     8     8     5    17    17 
1432047600    0.0     8     3     1     4     4     7     4     4 
1432134000    0.0     8     4     1     1     1     2     3     4 
1432220400    0.0     8     3     1     1     1     2     3     2 
1432306800    0.0     8     0     1     1     5     5     3     6 
1432393200    0.0     8     7     2     1     1    10    10    10 
1432479600    4.2     8    11    19    18     7     7    18    18 
1432566000    2.6     8     8    10     9     6    14    14     4 
1432652400    0.6     8     0     6     6     5    23     3     3 
1432738800    0.0     8     6     7     7     8     6     6     5 
1432825200    0.8     8     9     6     6     6     7     5     6 
1432911600    4.8     8    13     5     6     6     7     7     5 
1432998000    0.2     8     0     4     6     9     9     9     9 
1433084400    1.0     8     1     9     3     3     2     2     2 
1433170800    2.2     4     4     2     4     2     2     1     1 
1433257200    0.6     4     5     6     5     6    24    24    23 
1433343600    0.0     4     1     1     2     4     7     5     5 
1433430000    0.0     4     0     1     0     0     1     1     1 
1433516400    0.0     4     1     0     0     0     0     2     0 
1433602800    0.8     4     3     2     1     5     3     3     3 
1433689200    1.2     4    13     6     6     6     5     6     3 
1433775600    5.4     4    NA    11    19    19     9     6     6 
1433862000    6.2     4    15    NA     9    19    18     9     8 
1433948400   30.2     4    30    25    NA    26    16    15     9 
1434034800   20.8     4    30    22    20    NA    23    21    20 
1434121200    6.6     4    19    11    12    19    NA    13    11 
1434207600    2.2     4    14    10    10     9    12    NA    14 
1434294000    7.0     4    11     9     9     9     9     8    NA 
1434380400    0.8     4     6     9     9     6     6     6     4 
1434466800    0.0     4     5     6     1     1     6     5     5 
1434553200    0.0     4     1     0     3     3     3     3     3 
1434639600    0.0     4     7     1     0     1     2     2     6 
1434726000    1.4     4     1     1     1     0     1     1     2 
1434812400   13.2     4     0     3     2     0     0     2     2 
1434898800    8.4     4     4     6     5     7     2    14     4 
1434985200   14.2     4    11    10     8     8     5     3     1 
1435071600   13.4     4    11     9     8     8     8    11     6 
1435158000    0.0     4    14     3     8    11    12    12    10 
1435244400    0.4     4    10    11     3     6    11    11    11 
1435330800    1.4     4     3     9     7    10    10     2     2 
1435417200    8.4     4    10    13    17    12    15    15     9 
1435503600   29.2     4    35    33    19    22    20     9     9 
1435590000    5.0     4    NA    15     6     6     6     6    11 
1435676400    0.0     4     5    NA     1     6     6     1     1 
1435762800    0.0     2     1     6    NA     1     8     8     4 
1435849200    0.0     2     3     1     1    NA     6     7     7 
1435935600    0.0     2     4     0     4     2    NA     2     1 
1436022000    1.0     2     5     8     3     4     8    NA    11 
1436108400    0.4     2     8     4     4     1     4     1    NA 
1436194800    0.0     2     5     0     3     3     0     3    11 
1436281200    0.0     2     0     0     6     7     7     2     1 
1436367600    0.0     2     2     1     1     3     3     2     2 
1436454000    2.8     2     5     0     0     0     3     4     3 
1436540400    0.0     2     0     2     2     0     3     2     0 
1436626800    0.0     2     3     0     0     0     0     1     2 
1436713200    0.0     2     0     0     0     0     0     0     0 
1436799600    0.0     2     0     0     0     0     0     0     0 
1436886000    0.0     2     1     0     1     0     0     0     0 
1436972400    0.0     2     0     0     0     2     0     0     0 
1437058800    0.0     2     0     0     0     0     2     0     0 
1437145200    0.0     2     0     1     1     0     0     1     1 
1437231600    0.0     2     2     1     3     3     0     0     5 
1437318000    0.0     2     8     6     4     0     0     0     0 
1437404400    0.0     2    NA    11    10     7     7     7     7 
1437490800    1.4     2    24    NA    31    16    10     6     8 
1437577200    3.2     2    31    31    NA    26    11     8     0 
1437663600    2.0     2     6     4     4    NA     5     6     4 
1437750000    0.0     2     0     8     4     5    NA     4     7 
1437836400    0.0     2     1     6     7     4     2    NA     2 
1437922800    0.0     2     2     4     2     9     6     4    NA 
1438009200    6.0     2    15    24    10     9    17    13    13 
1438095600    4.0     2    19    23    38    27    14     1     1 
1438182000    0.2     2    13     5     4    27    15    14    11 
1438268400    3.6     2     2     3     4     3     4     3     5 
1438354800    5.2     2    15     1     1     3     3     7     4 
1438441200    0.0     2    10     1     1     3     6     5     3 
1438527600    0.0     2     1     1     1     1     2     2     4 
1438614000    0.0     2     0     1     0     0     0     1     0 
1438700400    0.0     2     0     2     1     2     3     3     0 
1438786800    0.0     2     0     0     0     0     0     0     0 
1438873200    0.0     2     0     0     0     0     1     2     0 
1438959600    0.0     2     0     0     0     0     0     2     3 
1439046000    0.0     2     0     1     1     0     0     1     0 
1439132400    0.0     2     0     0     0     0     1     1     1 
1439218800    0.0     2     0     0     0     0     0     0     0 
1439305200    0.0     2     0     1     0     0     0     0     0 
1439391600    0.0     2     0     0     0     0     0     0     0 
1439478000    0.0     2     1     0     0     0     0     0     6 
1439564400    0.0     2     2     0     0     0     0     0     0 
1439650800    0.8     2     1     0     0     1     3     1     1 
1439737200    0.0     2     0     0     0     0     0     1     1 
1439823600    0.0     2     0     0     0     0     0     0     3 
1439910000    0.0     2     0     1     1     1     1     0     0 
1439996400    0.0     2     0     1     2     3     3     3     0 
1440082800    0.0     2     0     7     6     6     7     5     3 
1440169200    0.0     2     0     9    10    11     3     3     5 
1440255600   10.8     2     6    10    10    12     5     7     3 
1440342000    0.2     2     3     3     1     1     5     1     2 
1440428400    0.2     2     0     0     3     1     0     7     0 
1440514800    0.0     2     2     2     0     7     2     2    NA 
1440601200    0.0     2     0     4     4     2     2     6     6 
1440687600    0.0     2     1     4     3     4     2     1     4 
1440774000    0.0     2     0     1     5     2     5     1     1 
1440860400    0.0     2     0     2     0     2     0     2     0 
1440946800    0.0     2     0     0     0     0     0     0     2 
1441033200    0.0     2     6     0     0     0     0     0     0 
1441119600    0.0     3     0     0     0     2     2     0     0 
1441206000    0.0     3     0     0     0     0     0     1     0 
1441292400    0.0     3     0     0     0     0     0     0     0 
1441378800    0.0     3     0     0     0     2     1     0     0 
1441465200    0.2     3     0     0     0     0     0     1     0 
1441551600    0.2     3     1     1     2     4     4     2     7 
1441638000    0.0     3     0     3     3     4     0     3     3 
1441724400    0.0     3     0     0     1     1     6     3     3 
1441810800    0.2     3     7     9     7     6     4    12     9 
1441897200    0.4     3     1     1    13    13     8    12    12 
1441983600    0.2     3     6     3     4    15    15     9     4 
1442070000    0.6     3     8     3     3     4    15    15     8 
1442156400    7.0     3    NA    16     7     7     7    15    15 
1442242800    3.6     3     7    NA     6     4     3     3     2 
1442329200    0.0     3     0     1    NA     0     0     0     0 
1442415600    0.0     3    NA     1     3    NA     1     0     0 
1442502000    0.0     3     0    NA     0     0    NA     0     0 
1442588400    0.0     3     1     2    NA     2     2    NA     1 
1442674800    0.0     3     2     3     3    NA     3     4    NA 
1442761200    0.0     3     5     0     1     1    NA     1     4 
1442847600    0.0     3     0     0     0     0     0    NA     5 
1442934000    0.0     3     0     0     0     3     0     0    NA 
1443020400    0.0     3     0     5     5     2     4     2     1 
1443106800    0.0     3     2     2     4     4     1     4     4 
1443193200    0.0     3    19     6     4     2     2     1     3 
1443279600    0.0     3     1     0     1     0     1     0     0 
1443366000    0.0     3     1     0     0     0     1     2     2 
1443452400    0.0     3     0     2     1     0     1     1     0 
1443538800    0.0     3     0     0     3     0     1     3     0 
1443625200    0.0     3     1     1     0     1     1     1     3 
1443711600    0.0     4     1     0     1     1     1     0     2 
1443798000    5.8     4     9    11     4     4     4     1     0 
